,Merchant Name,Merchant Category,Merchant Website,Merchant Logo
55,Netflix,Cable and other pay television (previously Cable Services),https://www.netflix.com/,https://images.ctfassets.net/y2ske730sjqp/5QQ9SVIdc1tmkqrtFnG9U1/de758bba0f65dcc1c6bc1f31f161003d/BrandAssets_Logos_02-NSymbol.jpg?w=940
56,Via Bambino,Children’s and Infant’s Wear Stores,https://www.blukids.com/,
57,Ace Festival Plaza,Hardware Stores,https://www.aceuae.com/en-ae/,
58,Abu Dhabi Market,"Grocery Stores, Supermarkets",https://www.adx.ae/,https://upload.wikimedia.org/wikipedia/commons/4/49/Abu_Dhabi_Global_Market_logo.gif
59,Addc,"Electric, Gas, Sanitary and Water Utilities",https://www.addc.ae/,https://upload.wikimedia.org/wikipedia/commons/8/88/ADDC_LOGO_.gif
60,Etisalat Digital App,"Fax services, Telecommunication Services",https://www.etisalat.ae/en/index.html,https://is1-ssl.mzstatic.com/image/thumb/Purple112/v4/4a/ca/45/4aca451b-6670-3d8e-4eda-b334facf0a52/AppIcon-0-1x_U007emarketing-0-10-0-0-85-220-0.png/1200x630wa.png
61,Starbucks,Caterers,https://www.starbucks.com/,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Starbucks_Corporation_Logo_2011.svg/1200px-Starbucks_Corporation_Logo_2011.svg.png
62,Emirates,Airlines,https://www.emirates.com/,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Emirates_logo.svg/1200px-Emirates_logo.svg.png
63,Federal Tax Authority,Government Services ( Not Elsewhere Classified),https://eservices.tax.gov.ae/,https://s3-us-west-2.amazonaws.com/cbi-image-service-prd/original/39b5786d-a60a-451d-bd05-4fcd869e6710.jpeg
64,Home Bakery Kitchen,Eating places and Restaurants,https://homebakery.ae/,http://www.princessmi.com/uploads/2/1/0/3/21036662/s945216155613619848_p759_i80_w300.png
65,Lebanese Roaster,"Grocery Stores, Supermarkets",https://lebaneseroaster.com/,https://lebaneseroaster.com/crust_website/static/src/images/leb_ros/imgpsh_fullsize_anim.png
66,Najm Al Lail Cafeteria,Caterers,,https://najmallail.com/wp-content/uploads/2022/10/logo-real-estate-01.png
67,Starbucks,Caterers,https://www.starbucks.com/,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Starbucks_Corporation_Logo_2011.svg/1200px-Starbucks_Corporation_Logo_2011.svg.png
68,Al Fanar National Gas,"Electric, Gas, Sanitary and Water Utilities",https://www.alfanargas.com/,https://media.licdn.com/dms/image/C4D0BAQFu6_Xlsx4Wjw/company-logo_200_200/0/1652783046156/alfanargas_logo?e=2147483647&v=beta&t=z4NCP8V0RKmTGWL_LL4oBNnmVmFE_BIN0Wl_eMmBH7M
69,Luluhypermarket Sanaiy,"Grocery Stores, Supermarkets",https://www.luluhypermarket.com/en-eg,https://cdn.wowdeals.me/uploads/images/companies/27/logo/330x150/1467635883.jpg
70,Etisalat Digital App,"Fax services, Telecommunication Services",https://www.etisalat.ae/en/index.html,https://play-lh.googleusercontent.com/29Qf3xq5NImuUz5jtfeO5-ebTK3fat6XXZHSJDAO35XIGxMypPxRQWWi5stdx-EWmOHH=w240-h480-rw
71,Instashop,"Grocery Stores, Supermarkets",https://instashop.com/,https://upload.wikimedia.org/wikipedia/commons/c/c6/InstaShop_logo_English_Arabic.png
72,Adnoc Yas Island,Service Stations ( with or without ancillary services),https://www.adnocdistribution.ae/,https://1000logos.net/wp-content/uploads/2021/09/ADNOC-Logo.png
73,Abu Dhabi Police,Government Services ( Not Elsewhere Classified),https://www.adpolice.gov.ae/en,https://upload.wikimedia.org/wikipedia/commons/5/5f/AD_Police_Emblem.png
74,Department Of Customs,Government Services ( Not Elsewhere Classified),https://fujcustoms.gov.ae/en/,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Seal_of_the_U.S._Customs_Service.svg/1200px-Seal_of_the_U.S._Customs_Service.svg.png
75,Instafollowersco,Advertising Services,Instafollowers.co,https://www.instafollowers.co/img/logo/structure/instafollowers.svg
76,Apple,Digital Goods: Large Digital Goods Merchant,https://www.apple.com/,https://www.tungsten-network.com/wp-content/uploads/2020/04/Apple-Logo-1.png
77,Tassheel Business Cent,Government Services ( Not Elsewhere Classified),http://tasheel.ae/,https://banner2.cleanpng.com/20180410/scw/kisspng-tasheel-abu-dhabi-business-service-company-dubai-5acc8fa6270db3.68961664152335555816.jpg
78,Kfc,Caterers,https://uae.kfc.me/en/home,https://1000logos.net/wp-content/uploads/2017/03/Kfc_logo.png
79,Starbucks,Caterers,https://www.starbucks.com/,https://upload.wikimedia.org/wikipedia/en/thumb/d/d3/Starbucks_Corporation_Logo_2011.svg/1200px-Starbucks_Corporation_Logo_2011.svg.png
80,Jebal Ali Terminals Fz,Government Services ( Not Elsewhere Classified),https://www.jafza.ae/,http://global-trustees.com/wp-content/uploads/2022/07/jebel-ali-free-zone-authority.jpg
81,Calicut Note Book,Caterers,https://calicutnotebook.qa,https://media-cdn.tripadvisor.com/media/photo-s/06/6c/4c/d6/calicut-notebook.jpg
82,Mofaservices,Government Services ( Not Elsewhere Classified),https://www.mofa.gov.ae/en/services,https://cdn.dribbble.com/users/3123579/screenshots/6022769/media/b466ed0876817a364a95933868769659.png?resize=400x300&vertical=center
83,Bur Dubai Branch,Financial Institutions – Manual Cash Disbursements,https://etihadwe.ae/en/Pages/default.aspx,https://c8.alamy.com/comp/KGWERR/dubai-uae-26oct2017-hsbc-bur-dubai-branch-is-the-principal-branch-KGWERR.jpg
84,Smartdxbgov Etihadwe,Government Services ( Not Elsewhere Classified),,
85,Al Masauod Fruits Veg,"Grocery Stores, Supermarkets",,https://upload.wikimedia.org/wikipedia/commons/a/aa/Al_Masaood_Logo1.png
86,Paynet Payment Service,"Business Services, Not Elsewhere Classified",https://paynetpayment.com,
87,Global Village Dubai,Government Services ( Not Elsewhere Classified),https://www.globalvillage.ae/en/,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/032019/untitled-1_261.png?K63MYL9ITVo3KEXhSsJpov6f0ooqCW1W&itok=ldReFaYd
88,Altimus Office Supplie,Book Stores,https://www.altimus.ae,https://media.licdn.com/dms/image/C4D0BAQE-08GmTe0O2Q/company-logo_200_200/0/1631319209883?e=2147483647&v=beta&t=gKCSm-ZlCEOjF30Qk9rM73plRVdc02PPXv34kiHkHv0
89,Every Day Tr Center,"Grocery Stores, Supermarkets",,
